Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 2: NDI 8700340  s/n:34802401	66948	1	OK	0.5743855	-0.6463161	0.2787678	0.4179059	-123.727	95.861	396.274	0.2068269	0
1	Port 2: NDI 8700340  s/n:34802401	66949	1	OK	0.5770495	-0.6437265	0.2759457	0.4200999	-124.043	95.606	397.471	0.2139058	0
1	Port 2: NDI 8700340  s/n:34802401	66950	1	OK	0.5795699	-0.6412924	0.2743370	0.4214049	-123.843	95.898	398.829	0.2158309	0
1	Port 2: NDI 8700340  s/n:34802401	66951	1	OK	0.5825537	-0.6389134	0.2720749	0.4223695	-123.955	95.880	400.160	0.2054678	0
1	Port 2: NDI 8700340  s/n:34802401	66952	1	OK	0.5849791	-0.6359772	0.2703908	0.4245247	-123.937	95.798	401.531	0.2151632	0
1	Port 2: NDI 8700340  s/n:34802401	66953	1	OK	0.5884151	-0.6339395	0.2684154	0.4240773	-123.717	95.996	403.030	0.2097376	0
1	Port 2: NDI 8700340  s/n:34802401	66954	1	OK	0.5921638	-0.6313716	0.2663337	0.4240027	-123.673	95.970	404.361	0.2155268	0
1	Port 2: NDI 8700340  s/n:34802401	66955	1	OK	0.5950400	-0.6279583	0.2656855	0.4254491	-123.132	96.124	405.819	0.2191939	0
1	Port 2: NDI 8700340  s/n:34802401	66956	1	OK	0.5990491	-0.6251940	0.2641916	0.4248240	-122.674	96.375	407.172	0.2208698	0
1	Port 2: NDI 8700340  s/n:34802401	66957	1	OK	0.6027220	-0.6224431	0.2621512	0.4249324	-122.164	96.303	408.690	0.2168130	0
1	Port 2: NDI 8700340  s/n:34802401	66958	1	OK	0.6062625	-0.6194517	0.2617034	0.4245430	-121.887	96.385	410.131	0.2119161	0
1	Port 2: NDI 8700340  s/n:34802401	66959	1	OK	0.6092613	-0.6155534	0.2612766	0.4261797	-121.198	96.496	411.537	0.2166812	0
1	Port 2: NDI 8700340  s/n:34802401	66960	1	OK	0.6138889	-0.6126331	0.2594950	0.4248334	-120.758	96.525	413.130	0.2025055	0
1	Port 2: NDI 8700340  s/n:34802401	66961	1	OK	0.6177384	-0.6091835	0.2582258	0.4249873	-119.958	96.571	414.690	0.2158955	0
1	Port 2: NDI 8700340  s/n:34802401	66962	1	OK	0.6213241	-0.6053616	0.2583781	0.4251288	-119.414	96.577	416.245	0.2145505	0
1	Port 2: NDI 8700340  s/n:34802401	66963	1	OK	0.6247965	-0.6015849	0.2578661	0.4257111	-118.619	96.588	417.806	0.2089385	0
1	Port 2: NDI 8700340  s/n:34802401	66964	1	OK	0.6283989	-0.5975328	0.2574169	0.4263871	-117.985	96.607	419.290	0.2187516	0
1	Port 2: NDI 8700340  s/n:34802401	66965	1	OK	0.6320603	-0.5934324	0.2569984	0.4269538	-117.350	96.410	420.869	0.2175545	0
1	Port 2: NDI 8700340  s/n:34802401	66966	1	OK	0.6348753	-0.5888197	0.2576523	0.4287657	-116.295	96.603	422.378	0.2115629	0
1	Port 2: NDI 8700340  s/n:34802401	66967	1	OK	0.6380949	-0.5842851	0.2575554	0.4302452	-115.795	96.324	423.906	0.2450976	0
1	Port 2: NDI 8700340  s/n:34802401	66968	1	OK	0.6407382	-0.5796763	0.2591441	0.4315951	-115.262	96.189	425.538	0.2091281	0
1	Port 2: NDI 8700340  s/n:34802401	66969	1	OK	0.6437840	-0.5748154	0.2601656	0.4329471	-114.271	96.307	427.000	0.2300387	0
1	Port 2: NDI 8700340  s/n:34802401	66970	1	OK	0.6461192	-0.5696867	0.2619078	0.4351911	-113.552	96.116	428.466	0.2241223	0
1	Port 2: NDI 8700340  s/n:34802401	66971	1	OK	0.6488143	-0.5649151	0.2637822	0.4362681	-112.784	96.018	429.896	0.2249059	0
1	Port 2: NDI 8700340  s/n:34802401	66972	1	OK	0.6516646	-0.5601360	0.2646143	0.4376758	-111.824	95.754	431.336	0.2156665	0
1	Port 2: NDI 8700340  s/n:34802401	66973	1	OK	0.6543441	-0.5553103	0.2670458	0.4383501	-110.729	95.731	432.804	0.2026352	0
1	Port 2: NDI 8700340  s/n:34802401	66974	1	OK	0.6568980	-0.5507872	0.2686950	0.4392283	-109.891	95.499	434.165	0.2039345	0
1	Port 2: NDI 8700340  s/n:34802401	66975	1	OK	0.6589758	-0.5456978	0.2711202	0.4409745	-108.862	95.481	435.406	0.1923046	0
1	Port 2: NDI 8700340  s/n:34802401	66976	1	OK	0.6608534	-0.5404036	0.2735889	0.4431544	-107.868	95.261	436.611	0.2422180	0
1	Port 2: NDI 8700340  s/n:34802401	66977	1	OK	0.6633327	-0.5360334	0.2758036	0.4433850	-106.997	94.835	437.935	0.2235078	0
1	Port 2: NDI 8700340  s/n:34802401	66978	1	OK	0.6659156	-0.5310552	0.2776596	0.4443444	-105.571	94.965	439.049	0.2227108	0
1	Port 2: NDI 8700340  s/n:34802401	66979	1	OK	0.6678632	-0.5260751	0.2803268	0.4456688	-104.412	94.772	440.229	0.2242979	0
1	Port 2: NDI 8700340  s/n:34802401	66980	1	OK	0.6694223	-0.5214395	0.2833261	0.4468791	-103.529	94.325	441.424	0.2024812	0
1	Port 2: NDI 8700340  s/n:34802401	66981	1	OK	0.6713384	-0.5163116	0.2856348	0.4484861	-102.332	94.220	442.322	0.2168123	0
1	Port 2: NDI 8700340  s/n:34802401	66982	1	OK	0.6725444	-0.5109042	0.2893327	0.4504970	-101.049	94.103	443.330	0.2091809	0
1	Port 2: NDI 8700340  s/n:34802401	66983	1	OK	0.6744490	-0.5062401	0.2923951	0.4509375	-99.922	93.867	444.430	0.1886213	0
1	Port 2: NDI 8700340  s/n:34802401	66984	1	OK	0.6760078	-0.5009053	0.2952309	0.4527097	-98.774	93.434	445.416	0.1998491	0
